City,AccentCity,ProvinceName,Latitude,Longitude,ProvinceID
zangontshi,Zangontshi,Eastern Cape,-31.144793,29.933558,5
zangotsho,Zangotsho,Eastern Cape,-31.144793,29.933558,5
zangqokwe,Zangqokwe,Eastern Cape,-32.075324,26.574481,5
zangwa,Zangwa,Eastern Cape,-32.427574,28.035784,5
zanyokwe,Zanyokwe,Eastern Cape,-32.766667,27.1,5
zaphiri,Zaphiri,North West,-27.15,23.4,10
zastron,Zastron,Free State,-30.302249,27.083951,3
zazulwana skool,Zazulwana Skool,Eastern Cape,-32.283333,28.15,5
zazulwana,Zazulwana,Eastern Cape,-32.283333,28.15,5
zebediela estates,Zebediela Estates,Limpopo,-24.3,29.25,9
zebedielas location,Zebedielas Location,Limpopo,-24.416667,29.383333,9
zebediela,Zebediela,Limpopo,-24.298378,29.25147,9
zebra,Zebra,Western Cape,-33.763701,22.315524,11
zeekoegat,Zeekoegat,Free State,-30.367163,26.884615,3
zeekogat,Zeekogat,KwaZulu Natal,-29.45,30.45,2
zeerust,Zeerust,North West,-25.536951,26.075117,10
zending,Zending,Limpopo,-23.1,29.45,9
zesfontein,Zesfontein,Gauteng,-26.082507,28.367682,6
zevenjaarsfontein,Zevenjaarsfontein,Free State,-30.516667,26.833333,3
zhikova,Zhikova,Eastern Cape,-33.231547,27.476486,5
zibi's,Zibi's,Eastern Cape,-32.733333,26.983333,5
zibukweni,Zibukweni,Eastern Cape,-30.99452,29.707741,5
zibungu,Zibungu,Eastern Cape,-31.471575,29.214067,5
zidindi,Zidindi,Eastern Cape,-31.990847,29.03103,5
zidulini,Zidulini,Eastern Cape,-30.914011,28.909367,5
ziest,Ziest,Mpumalanga,-25.781768,31.205469,7
zigadini,Zigadini,Eastern Cape,-32.240151,28.053603,5
zigodlo,Zigodlo,Eastern Cape,-32.981713,27.069835,5
zigudu,Zigudu,Eastern Cape,-32.166667,27.483333,5
zihlahleni,Zihlahleni,Eastern Cape,-32.852254,27.16546,5
zihlakenpele,Zihlakenpele,KwaZulu Natal,-27.84119,31.835434,2
zilandana,Zilandana,Eastern Cape,-31.104159,28.83284,5
zilangwe,Zilangwe,Eastern Cape,-30.736268,29.704235,5
zimbane,Zimbane,Eastern Cape,-30.744858,28.556132,5
zimbileni,Zimbileni,Eastern Cape,-30.970954,28.521865,5
zimbungu,Zimbungu,Eastern Cape,-31.471575,29.214067,5
zimpawaneni,Zimpawaneni,Eastern Cape,-30.669662,29.118314,5
zimpofu,Zimpofu,Eastern Cape,-30.610295,28.670176,5
zincuka,Zincuka,Eastern Cape,-30.60944,28.582391,5
zincukutwini,Zincukutwini,Eastern Cape,-31.858885,29.116879,5
zinduneni,Zinduneni,Eastern Cape,-31.683333,29.2,5
zingadini,Zingadini,Eastern Cape,-31.817889,27.663991,5
zingcuka,Zingcuka,Eastern Cape,-30.983749,28.934455,5
zingolweni,Zingolweni,KwaZulu Natal,-30.784086,30.122944,2
